  ---------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  ---------------------------------------------------------------------
     1          6             0        0.726656   -1.000157    3.300459
     2          6             0        1.175755    0.382026    3.300459
     3          6             0        1.410183   -1.940951    2.581756
     4          6             0        2.281725    0.741377    2.581756
     5          6             0        2.281725    1.977639    1.817704
     6          6             0        0.000000    1.236262    3.300459
     7          6             0        0.000000    2.399147    2.581756
     8          6             0        1.175755    2.781173    1.817704
     9          6             0       -0.683527   -2.941108    1.817704
    10          6             0       -1.410183   -1.940951    2.581756
    11          6             0        0.683527   -2.941108    1.817704
    12          6             0       -0.726656   -1.000157    3.300459
    13          6             0       -1.175755    0.382026    3.300459
    14          6             0       -2.585938   -1.558925    1.817704
    15          6             0       -3.008381   -0.258779    1.817704
    16          6             0       -2.281725    0.741377    2.581756
    17          6             0        0.726656   -3.399304   -0.581443
    18          6             0       -0.726656   -3.399304   -0.581443
    19          6             0        1.410183   -3.177213    0.581443
    20          6             0       -1.410183   -3.177213    0.581443
    21          6             0       -2.585938   -2.322977    0.581443
    22          6             0       -1.175755   -2.781173   -1.817704
    23          6             0       -2.281725   -1.977639   -1.817704
    24          6             0       -3.008381   -1.741534   -0.581443
    25          6             0        3.008381   -1.741534   -0.581443
    26          6             0        2.281725   -1.977639   -1.817704
    27          6             0        2.585938   -2.322977    0.581443
    28          6             0        1.175755   -2.781173   -1.817704
    29          6             0        0.000000   -2.399147   -2.581756
    30          6             0        2.281725   -0.741377   -2.581756
    31          6             0        1.175755   -0.382026   -3.300459
    32          6             0        0.000000   -1.236262   -3.300459
    33          6             0        3.008381   -0.258779    1.817704
    34          6             0        3.457479    0.359351    0.581443
    35          6             0        2.585938   -1.558925    1.817704
    36          6             0        3.457479   -0.359351   -0.581443
    37          6             0        3.008381    0.258779   -1.817704
    38          6             0        3.008381    1.741534    0.581443
    39          6             0        2.585938    2.322977   -0.581443
    40          6             0        2.585938    1.558925   -1.817704
    41          6             0       -0.726656    1.000157   -3.300459
    42          6             0        0.726656    1.000157   -3.300459
    43          6             0        1.410183    1.940951   -2.581756
    44          6             0       -1.410183    1.940951   -2.581756
    45          6             0       -3.008381    0.258779   -1.817704
    46          6             0       -2.281725   -0.741377   -2.581756
    47          6             0       -1.175755   -0.382026   -3.300459
    48          6             0       -2.585938    1.558925   -1.817704
    49          6             0       -3.008381    1.741534    0.581443
    50          6             0       -3.457479    0.359351    0.581443
    51          6             0       -3.457479   -0.359351   -0.581443
    52          6             0       -2.585938    2.322977   -0.581443
    53          6             0       -0.726656    3.399304    0.581443
    54          6             0       -1.175755    2.781173    1.817704
    55          6             0       -2.281725    1.977639    1.817704
    56          6             0       -1.410183    3.177213   -0.581443
    57          6             0        0.683527    2.941108   -1.817704
    58          6             0        1.410183    3.177213   -0.581443
    59          6             0        0.726656    3.399304    0.581443
    60          6             0       -0.683527    2.941108   -1.817704
